# Athena++ data at time=6.000000e-01  cycle=7794  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0092  2.22342e-01  4.66392e+01  3.44626e+01  6.00577e+00  1.80459e-15 -1.76766e+00  1.00680e+01  7.67033e-15 -5.99884e+00
0093  2.24246e-01  4.58390e+01  3.34827e+01  6.00726e+00  2.07101e-15 -1.78377e+00  9.89770e+00  1.19466e-14 -5.94801e+00
0094  2.26150e-01  4.50593e+01  3.25387e+01  6.00871e+00  3.04486e-15 -1.79986e+00  9.73170e+00  1.72339e-14 -5.89802e+00
0095  2.28054e-01  4.42995e+01  3.16292e+01  6.01013e+00  3.68574e-15 -1.81595e+00  9.56984e+00  1.84310e-14 -5.84887e+00
0096  2.29959e-01  4.35587e+01  3.07526e+01  6.01151e+00  3.74755e-15 -1.83202e+00  9.41198e+00  1.86686e-14 -5.80053e+00
0097  2.31863e-01  4.28365e+01  2.99073e+01  6.01286e+00  3.66743e-15 -1.84809e+00  9.25799e+00  1.81171e-14 -5.75298e+00
0098  2.33767e-01  4.21321e+01  2.90921e+01  6.01417e+00  3.56772e-15 -1.86416e+00  9.10776e+00  1.50617e-14 -5.70620e+00
0099  2.35672e-01  4.14451e+01  2.83057e+01  6.01546e+00  2.36629e-15 -1.88021e+00  8.96115e+00  3.87271e-15 -5.66017e+00
0100  2.37576e-01  4.07748e+01  2.75467e+01  6.01671e+00  2.30320e-15 -1.89626e+00  8.81805e+00  4.66560e-15 -5.61488e+00
0101  2.39480e-01  4.01207e+01  2.68140e+01  6.01794e+00  1.87627e-15 -1.91230e+00  8.67835e+00  5.81063e-15 -5.57031e+00
0102  2.41384e-01  3.94822e+01  2.61066e+01  6.01914e+00  1.90778e-15 -1.92834e+00  8.54195e+00  1.20331e-14 -5.52644e+00
0103  2.43289e-01  3.88590e+01  2.54232e+01  6.02031e+00  1.88543e-15 -1.94437e+00  8.40874e+00  1.25658e-14 -5.48325e+00
0104  2.45193e-01  3.82504e+01  2.47630e+01  6.02145e+00  1.18508e-15 -1.96039e+00  8.27861e+00  7.91425e-15 -5.44073e+00
0105  2.47097e-01  3.76561e+01  2.41250e+01  6.02257e+00  5.84902e-16 -1.97640e+00  8.15149e+00  7.38817e-15 -5.39886e+00
0106  2.49001e-01  3.70755e+01  2.35082e+01  6.02366e+00 -5.94864e-16 -1.99241e+00  8.02727e+00  3.66223e-15 -5.35763e+00
0107  2.50906e-01  3.65084e+01  2.29119e+01  6.02472e+00 -1.27475e-15 -2.00842e+00  7.90587e+00  1.61586e-15 -5.31703e+00
0108  2.52810e-01  3.59541e+01  2.23350e+01  6.02577e+00 -1.43726e-15 -2.02442e+00  7.78721e+00 -2.15959e-15 -5.27703e+00
0109  2.54714e-01  3.54125e+01  2.17770e+01  6.02679e+00 -1.39520e-15 -2.04041e+00  7.67119e+00 -4.70629e-15 -5.23764e+00
0110  2.56619e-01  3.48831e+01  2.12370e+01  6.02779e+00 -7.44445e-16 -2.05639e+00  7.55775e+00 -2.74069e-15 -5.19882e+00
0111  2.58523e-01  3.43654e+01  2.07143e+01  6.02876e+00  6.51297e-16 -2.07238e+00  7.44680e+00 -2.83140e-15 -5.16058e+00
0112  2.60427e-01  3.38593e+01  2.02083e+01  6.02972e+00  1.22787e-15 -2.08835e+00  7.33829e+00 -3.79209e-15 -5.12289e+00
0113  2.62331e-01  3.33643e+01  1.97182e+01  6.03065e+00  1.34684e-15 -2.10432e+00  7.23212e+00 -4.47219e-15 -5.08575e+00
